X,Y,FID
141.3297,44.43936,ports_harbor.466
-107.9063,24.62525,ports_harbor.467
141.7407,44.87862,ports_harbor.468
5.219,53.36,ports_harbor.469
-61.58725,15.86868,ports_harbor.470
-61.61944,15.85303,ports_harbor.471
13.0817,38.15807,ports_harbor.472
3.8265,51.319,ports_harbor.473
7.035615,53.29751,ports_harbor.474
5.786995,53.01058,ports_harbor.475
5.78212,53.03674,ports_harbor.476
4.159,52.0285,ports_harbor.477
7.047685,52.87016,ports_harbor.478
1.31868,36.52583,ports_harbor.479
-4.694939,51.67311,ports_harbor.480
-135.2146,57.77914,ports_harbor.481
-61.5815,10.6807,ports_harbor.482
0.0127,5.63285,ports_harbor.483
-89.30739,21.33971,ports_harbor.484
-87.45856,15.78461,ports_harbor.485
34.76864,32.09043,ports_harbor.486
104.0276,1.407396,ports_harbor.487
27.51646,40.96661,ports_harbor.488
14.836,55.2485,ports_harbor.489
138.8917,34.63187,ports_harbor.490
-3.503205,50.54371,ports_harbor.491
-1.171573,54.60965,ports_harbor.492
-97.01404,20.47253,ports_harbor.493
10.9559,35.65936,ports_harbor.494
-105.7467,22.54221,ports_harbor.495
117.9051,4.249694,ports_harbor.496
-83.498,44.273,ports_harbor.497
176.1745,-37.657,ports_harbor.498
5.91,59.063,ports_harbor.499
139.8514,35.00554,ports_harbor.500
133.0713,34.28084,ports_harbor.501
135.0527,34.62601,ports_harbor.502
132.9263,34.27985,ports_harbor.503
35.85491,34.90542,ports_harbor.504
1.229093,41.09841,ports_harbor.505
-12.934,27.942,ports_harbor.506
17.18787,40.48889,ports_harbor.507
4.953,36.825,ports_harbor.508
174.0403,-39.05603,ports_harbor.509
-17.945,28.642,ports_harbor.510
133.8476,34.47016,ports_harbor.511
135.186,34.33887,ports_harbor.512
103.541,1.3855,ports_harbor.513
-5.799,35.788,ports_harbor.514
-5.517,35.878,ports_harbor.515
-5.4945,35.895,ports_harbor.516
11.76667,57.61666,ports_harbor.517
39.12609,-5.050633,ports_harbor.518
